"term","frequency","density","occurrence"
"anglesaminvestmentscom",2,3.38805034642815e-05,0.00200400801603206
"anglican",1,1.69402517321407e-05,0.00200400801603206
"anglicans",2,3.38805034642815e-05,0.00200400801603206
"anglo",3,5.08207551964222e-05,0.00601202404809619
"angry",6,0.000101641510392844,0.0120240480961924
"angstrom",1,1.69402517321407e-05,0.00200400801603206
"anihcaaeabeakgaaauacwebcyabaceaaaaxnundqzumzcnjvgotrcodjbotenjiqjyodi",1,1.69402517321407e-05,0.00200400801603206
"animal",20,0.000338805034642815,0.0160320641282565
"animals",5,8.47012586607037e-05,0.00400801603206413
"anime",4,6.7761006928563e-05,0.00400801603206413
"animosity",1,1.69402517321407e-05,0.00200400801603206
"ankles",1,1.69402517321407e-05,0.00200400801603206
"anniversary",1,1.69402517321407e-05,0.00200400801603206
"announce",2,3.38805034642815e-05,0.00400801603206413
"announced",12,0.000203283020785689,0.0160320641282565
"announcement",2,3.38805034642815e-05,0.00200400801603206
"announcing",1,1.69402517321407e-05,0.00200400801603206
"annoy",4,6.7761006928563e-05,0.00601202404809619
"annoyed",1,1.69402517321407e-05,0.00200400801603206
"annoying",1,1.69402517321407e-05,0.00200400801603206
"annual",3,5.08207551964222e-05,0.00400801603206413
"anodyne",1,1.69402517321407e-05,0.00200400801603206
"anonymizing",1,1.69402517321407e-05,0.00200400801603206
"anonymous",8,0.000135522013857126,0.00801603206412826
"anonymously",2,3.38805034642815e-05,0.00400801603206413
"another",13,0.00022022327251783,0.0260521042084168
"ansi",1,1.69402517321407e-05,0.00200400801603206
"answer",15,0.000254103775982111,0.0220440881763527
"answers",5,8.47012586607037e-05,0.0100200400801603
"answerspablo",13,0.00022022327251783,0.0260521042084168
"ant",2,3.38805034642815e-05,0.00200400801603206
"antarctica",2,3.38805034642815e-05,0.00200400801603206
